COLLEGE,INCOME,OVERAGE,LEFTOVER,HOUSE,HANDSET_PRICE,OVER_15MINS_CALLS_PER_MONTH,AVERAGE_CALL_DURATION,REPORTED_SATISFACTION,REPORTED_USAGE_LEVEL,CONSIDERING_CHANGE_OF_PLAN,PROFITABILITY,LEAVE
zero,138818,0,0,228520,890,0,9,avg,little,no,4.06,LEAVE
zero,24135,59,62,749087,203,13,1,very_unsat,very_little,considering,6.37,STAY
one,66871,0,16,324495,291,0,5,very_unsat,very_high,no,1.89,LEAVE
one,27272,185,0,663818,166,28,12,very_unsat,little,considering,6.34,LEAVE
zero,113908,0,0,596109,276,5,11,very_unsat,very_little,actively_looking_into_it,2.47,STAY
zero,55633,68,38,425441,301,5,2,very_sat,little,no,6.38,STAY
zero,37410,172,37,264631,149,28,2,unsat,little,actively_looking_into_it,3.99,STAY
one,33820,0,0,354043,199,0,14,very_sat,little,considering,4.30,STAY
one,145029,0,0,608173,765,0,15,very_unsat,very_little,considering,4.09,STAY
one,46929,0,48,824049,194,0,1,avg,high,no,7.38,STAY
zero,31551,49,8,520895,171,5,4,very_sat,high,actively_looking_into_it,4.48,STAY
zero,27209,232,11,252985,136,12,5,avg,very_high,actively_looking_into_it,3.19,LEAVE
zero,139238,0,0,557867,158,0,11,very_unsat,little,actively_looking_into_it,2.90,STAY
zero,156187,55,16,222361,760,5,2,very_unsat,very_high,no,5.17,LEAVE
one,22321,0,0,153248,233,0,2,very_unsat,very_high,considering,3.75,LEAVE
zero,95737,167,0,286856,296,1,15,sat,very_little,actively_looking_into_it,3.97,STAY
one,117822,56,17,542148,406,4,5,unsat,very_high,no,3.02,LEAVE
one,145712,68,65,981959,520,3,1,unsat,little,actively_looking_into_it,5.37,LEAVE
one,46517,70,27,251991,158,3,2,very_unsat,little,no,5.21,LEAVE
zero,64522,183,56,649657,332,23,2,very_sat,high,considering,7.79,STAY
zero,57829,0,23,334033,258,0,5,unsat,high,actively_looking_into_it,5.30,STAY
one,153249,43,83,414366,732,0,1,very_unsat,little,considering,5.35,STAY
zero,35844,54,12,460329,159,4,6,very_unsat,very_little,considering,5.63,STAY
zero,41607,182,39,438521,158,20,14,unsat,high,actively_looking_into_it,1.04,LEAVE
one,47474,59,14,288698,325,3,4,very_sat,very_high,considering,1.96,STAY
one,34567,189,0,387999,146,28,11,very_sat,very_high,considering,3.63,LEAVE
zero,81535,73,0,976996,340,5,15,very_sat,little,perhaps,5.13,STAY
zero,41670,50,19,422528,225,4,2,sat,very_high,considering,3.47,LEAVE
zero,72368,54,23,275777,316,11,5,very_unsat,very_high,considering,4.86,STAY
zero,37549,0,30,562865,188,0,2,very_sat,little,no,5.20,LEAVE
zero,47716,92,12,645449,198,4,5,very_sat,very_little,considering,6.50,STAY
one,96818,0,39,830670,393,18,2,very_sat,very_little,considering,6.82,STAY
zero,146748,0,42,229795,645,0,1,unsat,very_little,considering,7.03,LEAVE
zero,135954,168,16,664364,401,12,4,avg,very_high,considering,3.46,LEAVE
one,23551,228,73,208803,232,14,2,very_sat,very_little,no,4.33,LEAVE
zero,78738,0,38,285602,254,0,1,very_unsat,avg,considering,5.96,LEAVE
one,37577,75,42,540237,141,3,2,very_sat,little,actively_looking_into_it,7.45,STAY
zero,66748,0,10,419882,574,0,5,very_unsat,little,never_thought,3.49,LEAVE
one,24570,0,0,289930,178,0,8,very_unsat,very_little,no,1.91,LEAVE
one,159438,0,17,170902,773,0,2,very_unsat,very_high,considering,4.77,STAY
zero,101648,201,27,419085,670,15,2,very_unsat,little,considering,3.42,LEAVE
one,48923,175,0,266831,147,16,11,avg,very_high,considering,2.42,LEAVE
zero,58959,0,13,349823,335,1,4,very_unsat,very_high,no,3.89,LEAVE
zero,40857,51,0,713948,222,5,10,very_sat,little,no,5.21,LEAVE
one,25040,149,0,216598,163,24,9,unsat,little,actively_looking_into_it,4.28,STAY
zero,75221,57,7,268655,324,5,6,very_sat,little,considering,3.24,LEAVE
zero,146309,218,15,675926,483,10,4,avg,high,actively_looking_into_it,3.69,LEAVE
one,89186,152,54,538487,327,18,1,very_unsat,very_high,never_thought,2.60,LEAVE
zero,89517,0,0,757471,331,0,11,unsat,little,considering,6.28,LEAVE
one,105631,57,0,743514,648,3,8,avg,little,actively_looking_into_it,4.46,STAY
zero,48558,0,22,512455,148,0,6,very_sat,little,actively_looking_into_it,2.71,LEAVE
zero,63988,232,11,289268,215,16,5,unsat,little,considering,2.48,LEAVE
one,132545,201,56,407563,483,15,1,very_sat,very_high,considering,3.69,LEAVE
zero,44631,33,70,197391,132,5,15,very_sat,little,considering,6.41,LEAVE
one,56911,0,37,343195,221,1,1,very_sat,little,considering,6.73,STAY
zero,80681,285,0,578455,395,26,9,sat,very_high,actively_looking_into_it,2.80,LEAVE
zero,65608,71,0,262157,282,1,9,very_unsat,high,never_thought,5.95,LEAVE
zero,118161,236,0,180788,662,17,8,very_unsat,high,never_thought,3.79,STAY
zero,33107,45,26,158285,138,3,1,sat,little,considering,6.53,LEAVE
one,33378,166,50,241546,131,18,2,very_unsat,little,considering,4.57,LEAVE
zero,33402,0,0,391093,220,1,4,unsat,little,actively_looking_into_it,3.14,LEAVE
zero,111711,0,10,383577,463,0,6,very_unsat,little,never_thought,4.27,LEAVE
zero,132935,242,65,241898,449,14,1,very_sat,little,actively_looking_into_it,4.27,LEAVE
one,46413,0,38,229910,156,0,1,very_unsat,high,actively_looking_into_it,5.98,LEAVE
zero,39404,0,11,398485,130,1,4,unsat,very_high,actively_looking_into_it,4.26,STAY
one,106919,260,12,630038,462,17,4,unsat,high,considering,3.09,LEAVE
zero,42686,0,18,163861,147,1,6,very_unsat,little,actively_looking_into_it,3.38,LEAVE
zero,141838,243,0,839472,724,27,13,avg,very_high,never_thought,2.65,LEAVE
one,23434,69,75,402325,183,4,1,very_sat,high,no,7.25,LEAVE
zero,157172,68,0,984593,691,5,2,unsat,very_little,considering,3.13,LEAVE
zero,134425,0,8,297329,572,0,5,very_unsat,high,no,3.32,STAY
one,146341,40,22,163407,442,3,6,avg,avg,actively_looking_into_it,3.33,LEAVE
zero,24403,0,31,433134,180,1,2,unsat,little,perhaps,6.23,LEAVE
zero,140620,207,0,373701,426,18,9,very_sat,very_little,no,4.39,STAY
one,118465,90,53,908846,526,4,2,unsat,little,considering,4.80,LEAVE
zero,50607,0,68,985996,354,0,6,very_unsat,very_high,actively_looking_into_it,4.77,STAY
zero,30760,0,0,348145,228,0,10,unsat,very_high,actively_looking_into_it,3.29,STAY
one,40286,58,17,201207,224,4,5,very_unsat,very_little,considering,3.98,STAY
zero,127818,78,88,466889,892,1,1,unsat,little,actively_looking_into_it,7.38,LEAVE
one,31878,55,13,841882,144,3,4,very_sat,very_high,never_thought,6.84,STAY
one,43954,57,19,814662,223,3,4,very_unsat,very_high,perhaps,5.95,STAY
zero,146266,57,12,724201,402,4,4,very_sat,very_high,actively_looking_into_it,3.34,STAY
one,50221,166,10,278239,386,23,5,very_sat,very_little,actively_looking_into_it,2.62,LEAVE
one,147711,0,18,151561,658,1,5,very_unsat,very_little,no,2.63,LEAVE
zero,51894,70,17,665765,151,29,4,avg,very_little,actively_looking_into_it,4.63,LEAVE
one,99211,40,0,403828,399,5,1,very_unsat,little,considering,4.78,LEAVE
zero,123667,155,0,454733,238,29,4,avg,avg,never_thought,2.69,LEAVE
one,37443,186,17,380165,212,27,6,very_sat,very_high,actively_looking_into_it,3.11,LEAVE
zero,24031,0,0,804988,169,0,12,very_unsat,little,never_thought,7.42,STAY
one,41094,0,0,918118,146,0,15,very_unsat,very_high,never_thought,6.28,STAY
zero,42956,219,30,943193,231,29,2,sat,very_little,actively_looking_into_it,6.38,LEAVE
one,55212,0,10,248476,290,0,5,very_sat,very_high,never_thought,5.87,STAY
zero,36701,0,49,614113,130,1,1,very_unsat,little,never_thought,6.04,STAY
one,38428,0,67,685945,279,0,1,very_unsat,very_little,no,5.74,STAY
zero,119200,0,12,708288,889,1,4,very_sat,little,considering,3.75,LEAVE
one,35875,0,18,351736,240,1,5,unsat,very_high,actively_looking_into_it,3.76,STAY
one,49188,180,23,189510,218,24,4,very_sat,very_little,never_thought,4.47,LEAVE
one,41546,165,47,331602,208,17,1,sat,avg,considering,2.92,LEAVE
zero,135731,27,5,251941,755,4,6,avg,little,considering,3.27,STAY
one,110760,195,13,277372,476,27,4,unsat,little,considering,5.20,STAY
zero,48620,0,13,344471,147,0,6,unsat,avg,considering,2.95,STAY
one,29653,58,85,158178,159,27,1,very_unsat,very_high,actively_looking_into_it,7.16,STAY
one,90908,0,0,686761,349,1,10,very_unsat,little,considering,5.77,STAY
zero,26327,68,83,171666,208,3,2,very_sat,very_high,considering,5.99,LEAVE
zero,94881,171,81,824898,130,19,13,very_unsat,very_high,considering,6.22,STAY
one,47725,35,0,475917,207,3,13,unsat,very_little,actively_looking_into_it,2.93,STAY
zero,39105,0,0,947044,165,0,9,very_unsat,very_high,considering,5.83,STAY
one,140275,65,13,261722,543,4,4,very_sat,high,considering,4.00,STAY
one,78381,0,7,702302,377,0,6,very_unsat,very_little,never_thought,7.47,STAY
zero,46133,0,39,253433,159,1,1,very_unsat,little,considering,6.81,STAY
zero,140990,55,24,469461,541,5,4,very_unsat,avg,actively_looking_into_it,2.42,LEAVE
zero,123527,97,0,153009,805,5,9,very_unsat,little,perhaps,2.24,LEAVE
zero,44819,154,0,350676,163,21,11,very_unsat,very_high,considering,3.51,LEAVE
zero,105437,0,0,231858,779,0,14,very_unsat,very_high,considering,3.39,LEAVE
one,21006,197,0,372965,222,21,11,very_unsat,little,no,3.56,LEAVE
zero,33584,90,5,876210,152,3,5,very_sat,little,considering,5.97,STAY
zero,133713,139,23,966160,456,16,4,avg,little,considering,3.56,LEAVE
zero,27436,0,0,456953,222,0,13,very_sat,high,no,5.30,LEAVE
zero,55891,188,0,253841,388,22,10,very_unsat,very_little,no,1.91,LEAVE
one,44972,215,20,258338,189,18,5,very_sat,very_high,considering,5.55,LEAVE
one,38392,184,17,253283,184,18,6,avg,little,considering,4.85,STAY
zero,35316,54,16,401473,206,0,4,very_unsat,very_little,considering,3.73,LEAVE
one,82556,188,29,649260,294,18,10,very_unsat,little,no,5.50,STAY
one,53327,0,27,486583,295,0,2,very_unsat,little,never_thought,7.12,LEAVE
one,121874,33,6,762132,438,3,6,very_sat,little,actively_looking_into_it,3.15,LEAVE
one,32558,0,0,616431,146,1,9,avg,little,considering,5.18,STAY
zero,55798,0,17,183333,381,0,6,very_sat,high,considering,5.09,STAY
one,42477,82,0,284842,133,3,1,very_unsat,little,actively_looking_into_it,4.74,LEAVE
one,131473,60,14,937400,732,5,4,very_unsat,very_little,considering,4.01,LEAVE
one,128430,0,0,694303,426,1,13,sat,very_high,considering,3.34,LEAVE
zero,46839,78,20,214093,134,4,6,very_unsat,very_little,considering,3.43,LEAVE
one,33662,236,0,811686,246,26,10,unsat,little,actively_looking_into_it,5.69,STAY
zero,142544,210,19,348674,752,21,6,unsat,little,considering,5.00,LEAVE
zero,153153,74,62,547756,803,4,4,very_unsat,little,considering,5.57,LEAVE
one,43608,0,0,155510,765,1,14,unsat,little,considering,2.78,LEAVE
zero,29547,44,38,590408,141,5,12,unsat,high,no,4.94,LEAVE
one,55628,0,0,165060,324,0,10,very_unsat,very_little,considering,3.57,LEAVE
one,50393,232,58,703346,179,0,1,very_unsat,very_little,considering,5.98,STAY
one,100244,74,20,753199,704,5,4,unsat,high,considering,3.99,LEAVE
one,129283,71,0,451966,608,4,10,unsat,very_little,actively_looking_into_it,6.10,STAY
one,32691,186,48,282284,213,24,2,unsat,little,actively_looking_into_it,3.44,LEAVE
one,35551,46,0,363584,198,5,13,unsat,little,no,3.16,LEAVE
zero,40098,0,0,567859,192,1,10,very_unsat,avg,no,2.15,LEAVE
one,76837,216,41,251722,398,14,2,very_unsat,avg,never_thought,2.78,LEAVE
zero,28110,87,0,224941,208,4,12,avg,high,considering,3.70,LEAVE
one,70716,0,11,227369,263,1,5,avg,little,actively_looking_into_it,3.51,STAY
one,99740,0,11,370725,369,0,4,very_sat,very_high,considering,2.82,STAY
zero,65637,201,67,733432,347,0,1,avg,high,actively_looking_into_it,4.34,LEAVE
one,20991,200,10,205172,186,18,6,very_unsat,very_high,never_thought,4.05,LEAVE
one,38589,177,0,322256,176,21,1,very_sat,little,actively_looking_into_it,4.24,LEAVE
zero,145981,154,0,347174,659,1,8,very_unsat,very_little,no,2.67,STAY
zero,59011,57,83,685150,327,4,1,very_sat,little,perhaps,7.35,STAY
zero,158197,0,61,215610,738,0,2,very_unsat,little,no,6.03,STAY
zero,34197,72,13,919637,183,5,4,very_unsat,very_little,actively_looking_into_it,4.93,STAY
one,64836,0,0,837872,306,1,8,very_sat,very_high,considering,4.39,STAY
one,32216,49,15,152712,213,4,4,unsat,little,considering,3.60,LEAVE
one,68282,145,58,343679,328,16,2,unsat,very_little,actively_looking_into_it,1.86,LEAVE
zero,130494,54,14,793060,422,4,5,avg,high,never_thought,2.88,STAY
zero,48545,0,0,422000,210,3,8,avg,very_high,actively_looking_into_it,4.18,STAY
one,26057,39,55,605539,216,4,1,avg,very_little,considering,4.13,LEAVE
one,110460,0,12,293150,544,0,6,unsat,very_little,considering,4.80,LEAVE
zero,46029,52,9,618171,180,3,12,very_sat,very_high,considering,7.17,STAY
one,81958,0,14,253512,348,0,5,very_unsat,very_high,actively_looking_into_it,3.58,STAY
one,87657,78,24,399434,396,5,6,very_unsat,very_little,actively_looking_into_it,2.68,STAY
one,107356,62,11,258011,739,5,5,avg,very_little,actively_looking_into_it,2.70,LEAVE
one,54669,222,0,161426,632,19,10,avg,very_high,actively_looking_into_it,4.04,LEAVE
zero,74053,235,0,316207,348,12,8,very_unsat,little,never_thought,3.26,STAY
one,45941,63,63,507517,228,3,8,sat,very_little,considering,7.46,LEAVE
zero,37320,180,9,540833,214,25,13,very_unsat,little,never_thought,2.99,LEAVE
one,44909,218,89,840283,201,15,1,very_unsat,very_high,actively_looking_into_it,5.95,STAY
one,69292,0,11,466705,338,1,5,very_unsat,little,actively_looking_into_it,5.32,LEAVE
one,36607,0,0,249271,209,1,12,very_unsat,little,considering,4.89,STAY
one,42115,0,0,177714,243,1,9,very_unsat,high,considering,3.33,STAY
one,36778,0,73,723055,192,1,2,very_sat,very_little,actively_looking_into_it,5.41,STAY
one,99393,201,0,478778,655,12,8,very_sat,very_little,perhaps,4.22,LEAVE
one,55458,41,0,164079,310,21,14,very_unsat,little,no,2.05,LEAVE
zero,45439,242,0,987852,197,29,14,very_sat,very_high,never_thought,6.81,STAY
one,151960,158,10,534473,852,26,6,very_unsat,little,never_thought,3.94,LEAVE
one,33438,67,0,368230,206,5,14,very_unsat,very_little,no,3.74,LEAVE
one,30325,0,76,326726,189,1,13,very_unsat,high,no,4.51,LEAVE
zero,81512,196,33,290389,354,15,2,very_sat,very_little,perhaps,3.79,STAY
zero,158071,60,62,194756,875,3,1,unsat,very_little,no,6.01,STAY
one,121271,50,62,643167,860,3,1,very_unsat,very_high,considering,5.91,LEAVE
one,103270,0,0,503956,235,0,11,unsat,little,considering,3.11,LEAVE
one,127658,230,22,598707,497,25,4,very_unsat,very_little,actively_looking_into_it,3.38,LEAVE
zero,88209,0,21,818114,253,1,6,very_unsat,little,never_thought,5.96,STAY
one,33575,211,0,151324,233,10,12,very_unsat,little,considering,3.61,LEAVE
zero,108214,0,59,294922,536,0,2,very_sat,very_high,no,6.10,LEAVE
one,88653,80,23,274879,333,4,5,very_unsat,little,considering,6.49,STAY
one,153160,131,53,796885,704,13,2,very_unsat,very_high,considering,3.32,LEAVE
one,57113,74,0,384652,331,4,5,unsat,little,considering,2.13,STAY
one,118224,68,0,392269,691,5,12,very_sat,little,perhaps,4.06,LEAVE
one,21542,0,42,580958,213,1,2,unsat,little,no,5.58,LEAVE
one,86619,222,7,814793,300,3,4,sat,high,never_thought,5.46,STAY
zero,59110,0,57,698870,356,1,14,unsat,very_little,considering,5.52,STAY
zero,30786,0,64,530808,205,28,2,very_unsat,little,no,6.06,LEAVE
one,46227,45,16,299102,249,3,4,very_sat,high,perhaps,4.53,STAY
one,147441,78,13,903633,599,4,4,unsat,avg,no,4.78,LEAVE
one,39709,222,6,556651,155,11,15,very_unsat,little,no,3.57,STAY
one,94634,178,0,538250,364,17,10,unsat,very_high,considering,2.46,LEAVE
zero,32942,0,28,475359,415,10,1,very_unsat,high,considering,5.86,STAY
zero,123283,64,14,259199,410,5,4,very_unsat,very_high,actively_looking_into_it,4.94,STAY
one,79889,179,48,835789,337,29,4,unsat,very_little,no,6.42,STAY
one,32423,157,60,186791,197,27,5,very_unsat,very_little,considering,4.01,LEAVE
zero,45100,0,64,619527,160,1,4,unsat,little,never_thought,6.02,STAY
one,109054,0,66,919895,465,0,14,unsat,very_little,actively_looking_into_it,5.12,LEAVE
zero,125951,0,0,307781,526,0,13,very_unsat,very_little,considering,3.59,LEAVE
one,84006,204,0,245619,317,22,14,very_sat,very_high,never_thought,2.64,LEAVE
one,27379,31,0,191815,204,0,13,very_unsat,little,never_thought,3.56,STAY
one,35621,31,0,409637,244,3,11,very_unsat,very_high,considering,3.43,STAY
one,65574,0,10,284062,303,10,5,very_sat,very_high,considering,2.49,STAY
one,129190,159,14,939708,670,21,4,very_unsat,very_high,considering,4.30,LEAVE
one,49765,68,0,458296,182,4,14,unsat,high,actively_looking_into_it,4.39,STAY
zero,88889,206,0,414072,312,24,14,very_sat,little,considering,2.46,LEAVE
one,150777,189,9,578562,613,17,4,very_unsat,little,no,4.17,STAY
zero,36789,0,14,887603,145,1,6,very_unsat,little,actively_looking_into_it,4.83,LEAVE
zero,153974,67,27,495202,220,4,2,very_unsat,little,no,6.51,LEAVE
zero,130958,0,73,998901,486,1,1,very_unsat,little,considering,4.85,LEAVE
zero,105564,63,0,202110,198,3,6,very_sat,little,no,2.33,LEAVE
one,54048,74,0,625963,291,18,8,very_sat,little,no,6.32,STAY
zero,91832,224,60,804428,376,16,1,avg,little,considering,8.18,STAY
zero,23430,191,15,525085,152,15,5,very_unsat,little,no,2.76,LEAVE
one,63656,55,0,151136,331,5,8,very_unsat,high,considering,3.84,LEAVE
zero,152689,0,63,853568,644,1,2,very_sat,little,no,6.41,LEAVE
zero,150304,68,88,506258,491,0,1,very_sat,very_little,no,4.93,STAY
zero,45428,0,49,209175,163,1,2,very_unsat,little,considering,5.94,LEAVE
zero,59997,198,0,157896,281,26,11,very_sat,little,considering,2.81,LEAVE
one,152119,182,61,656206,219,20,1,very_unsat,very_little,considering,3.56,STAY
zero,86375,218,0,726311,370,21,14,sat,very_high,considering,6.22,LEAVE
zero,46930,191,0,211681,202,4,13,avg,little,considering,4.05,LEAVE
one,112703,0,0,441495,887,4,12,very_unsat,avg,no,5.34,STAY
one,128932,0,81,596742,836,0,1,very_unsat,little,considering,5.55,STAY
one,117341,197,0,184037,343,16,9,unsat,little,no,4.36,LEAVE
zero,95270,0,88,190659,761,1,9,very_sat,very_little,never_thought,6.81,LEAVE
one,49258,0,0,903631,144,1,12,very_sat,little,actively_looking_into_it,6.18,STAY
zero,21463,188,0,696921,163,18,12,very_sat,very_high,considering,7.56,STAY
zero,58999,0,72,202498,382,1,1,unsat,little,considering,8.41,LEAVE
zero,72222,0,0,762740,374,1,11,very_unsat,little,no,6.53,STAY
one,25187,225,36,304359,186,13,2,avg,very_high,never_thought,1.46,STAY
zero,95392,48,0,349207,176,4,10,sat,high,considering,1.67,LEAVE
one,126060,208,0,409154,522,15,8,very_unsat,little,considering,4.26,STAY
zero,89626,239,26,592330,353,27,2,unsat,high,considering,2.49,LEAVE
one,120852,89,13,993528,826,4,4,very_unsat,very_high,actively_looking_into_it,3.82,LEAVE
one,20926,203,0,256031,196,16,15,very_unsat,very_little,considering,3.91,LEAVE
one,133382,219,8,331655,138,26,6,avg,little,considering,5.19,LEAVE
zero,73822,34,15,914661,264,5,6,very_sat,very_high,no,5.60,LEAVE
one,40871,0,89,151314,184,0,1,very_sat,little,considering,6.50,LEAVE
zero,36236,0,58,926926,348,1,1,very_sat,very_high,actively_looking_into_it,5.89,LEAVE
zero,30476,58,10,688510,195,3,5,very_sat,very_high,actively_looking_into_it,3.20,LEAVE
zero,152250,0,37,265945,520,0,1,very_unsat,very_little,never_thought,7.15,STAY
zero,39519,0,0,271285,407,0,13,very_unsat,very_high,no,2.67,STAY
one,53084,0,0,316026,322,0,2,very_unsat,little,considering,2.49,LEAVE
one,43853,203,0,433982,179,17,5,very_unsat,little,considering,0.69,LEAVE
zero,28963,0,0,694011,183,1,1,very_unsat,very_high,perhaps,7.08,STAY
one,57690,204,62,963594,370,13,2,very_unsat,little,considering,6.90,STAY
one,111740,0,0,452357,600,0,14,unsat,little,considering,4.30,LEAVE
one,66598,0,87,735822,478,0,2,unsat,little,considering,7.67,STAY
zero,135360,203,6,780356,563,18,6,very_unsat,high,never_thought,3.33,LEAVE
zero,31368,261,65,976141,321,21,1,very_sat,very_little,considering,6.96,STAY
one,97257,0,0,655738,465,0,8,very_sat,very_little,considering,6.00,STAY
zero,27917,58,0,562470,220,18,9,very_sat,little,considering,4.32,LEAVE
one,147450,197,25,340370,635,26,1,very_unsat,little,considering,0.79,LEAVE
zero,142533,67,0,817192,252,10,14,sat,very_high,considering,3.18,STAY
zero,41619,263,8,401159,242,15,6,unsat,little,considering,2.68,STAY
one,42827,0,0,903190,185,0,8,very_sat,very_high,actively_looking_into_it,6.15,STAY
zero,35620,176,47,613206,197,4,2,unsat,little,considering,6.44,STAY
one,152838,49,0,868640,625,3,15,very_unsat,little,considering,5.46,STAY
zero,155730,53,60,342418,862,4,2,very_unsat,very_little,actively_looking_into_it,6.34,STAY
zero,84469,71,15,417907,306,1,5,very_unsat,very_high,considering,4.93,STAY
zero,64458,0,81,816290,361,0,1,unsat,little,never_thought,5.10,STAY
zero,135189,40,63,548256,592,4,1,very_sat,avg,perhaps,6.16,LEAVE
one,140614,197,5,187009,560,21,5,very_unsat,very_high,considering,2.93,LEAVE
zero,66354,0,0,885177,279,0,9,very_sat,little,never_thought,6.65,STAY
one,39014,207,24,272888,244,15,4,unsat,little,actively_looking_into_it,3.59,LEAVE
one,100405,181,53,210899,597,15,1,avg,little,never_thought,3.75,LEAVE
one,129355,256,18,371389,184,24,6,unsat,very_high,perhaps,2.57,LEAVE
zero,98641,53,0,283295,369,3,11,very_unsat,little,considering,2.83,LEAVE
one,20380,0,0,897874,166,0,13,avg,very_high,considering,6.24,STAY
zero,84559,137,86,210960,186,27,1,very_unsat,very_little,considering,1.22,LEAVE
zero,37894,0,0,550717,198,1,14,unsat,very_high,considering,3.21,LEAVE
one,72941,196,0,518472,236,17,15,very_unsat,little,never_thought,4.24,LEAVE
one,22431,232,16,659218,213,11,4,very_sat,avg,never_thought,5.19,STAY
zero,114402,216,46,491559,535,22,2,sat,very_little,never_thought,4.82,STAY
zero,126147,240,21,557128,686,15,5,very_unsat,very_little,never_thought,3.92,STAY
one,88595,0,0,493895,328,0,11,sat,little,no,4.22,STAY
zero,45978,33,0,710216,225,5,10,avg,very_high,never_thought,6.85,STAY
zero,53631,182,41,350513,256,21,2,unsat,high,actively_looking_into_it,2.72,STAY
one,73997,0,24,533487,379,1,4,sat,very_little,no,3.13,STAY
zero,66448,232,7,200206,372,27,4,unsat,high,considering,3.49,STAY
zero,103159,0,8,272827,621,0,6,very_unsat,high,perhaps,4.23,LEAVE
one,112170,199,15,169661,820,26,6,unsat,very_little,perhaps,1.66,LEAVE
one,91195,227,0,867043,354,24,12,avg,very_high,actively_looking_into_it,6.89,STAY
one,42315,265,0,176549,216,24,5,avg,very_high,no,4.39,LEAVE
one,154978,168,74,423089,569,12,2,very_sat,very_little,no,4.20,LEAVE
zero,26953,82,75,864761,190,3,1,very_unsat,little,actively_looking_into_it,5.55,STAY
zero,97983,207,7,516443,342,11,4,avg,very_high,considering,1.13,LEAVE
zero,42434,199,13,945016,213,26,4,avg,little,considering,6.20,STAY
one,82504,161,21,883154,295,22,6,very_unsat,very_little,no,6.67,STAY
zero,89678,90,0,213371,276,5,9,very_sat,avg,actively_looking_into_it,3.14,STAY
one,32861,0,0,932301,198,1,15,very_unsat,very_high,perhaps,7.37,STAY
one,105702,0,0,563107,731,0,8,very_unsat,little,considering,3.37,LEAVE
one,121707,0,7,683802,329,0,5,avg,little,actively_looking_into_it,4.73,STAY
zero,25473,179,7,583492,163,17,5,very_sat,very_little,actively_looking_into_it,2.46,LEAVE
one,20139,55,0,512976,179,4,2,very_sat,very_little,considering,3.14,STAY
zero,27572,61,0,204761,246,5,13,very_sat,little,perhaps,3.28,STAY
one,73635,212,0,405242,298,24,12,very_unsat,very_little,considering,3.39,LEAVE
one,30684,194,0,275960,238,25,9,very_sat,high,considering,2.35,LEAVE
one,48612,0,68,953390,233,1,4,very_unsat,little,actively_looking_into_it,6.56,STAY
zero,132410,0,19,229298,660,1,6,very_sat,very_high,perhaps,4.20,LEAVE
zero,99370,62,0,560654,363,4,11,very_sat,very_little,actively_looking_into_it,3.80,LEAVE
one,34867,0,17,196758,211,1,4,very_unsat,very_little,actively_looking_into_it,3.25,STAY
one,22556,190,16,455308,214,11,5,unsat,very_high,actively_looking_into_it,3.52,LEAVE
one,113732,37,0,597320,233,4,15,very_sat,very_high,actively_looking_into_it,4.24,LEAVE
zero,154974,45,14,988996,725,4,4,very_unsat,little,no,2.05,LEAVE
zero,77025,0,49,251142,279,0,5,avg,very_little,considering,7.80,LEAVE
zero,106131,65,0,921113,602,4,11,unsat,little,considering,3.13,LEAVE
one,155744,0,0,156105,597,0,13,unsat,high,considering,4.49,LEAVE
zero,93512,69,88,433680,386,3,2,unsat,very_high,no,5.45,LEAVE
zero,21270,0,0,429487,232,1,11,very_sat,little,considering,3.16,STAY
zero,72655,0,11,562646,373,1,5,unsat,little,considering,3.48,STAY
one,111794,0,68,152749,654,3,1,unsat,very_high,considering,4.18,LEAVE
zero,62664,217,0,267447,300,15,5,very_unsat,high,considering,2.79,LEAVE
zero,68837,56,0,190529,274,4,12,unsat,very_little,actively_looking_into_it,2.76,STAY
one,149841,0,20,819043,587,0,4,very_sat,little,actively_looking_into_it,4.63,STAY
one,118843,218,9,959246,877,22,6,unsat,little,actively_looking_into_it,4.36,STAY
zero,30386,52,65,205204,167,11,1,unsat,very_high,never_thought,6.99,STAY
one,118699,61,51,338126,478,5,14,very_unsat,high,considering,8.04,LEAVE
zero,107085,0,13,308339,469,0,2,unsat,little,no,2.41,LEAVE
one,80438,83,37,387917,358,29,1,unsat,little,actively_looking_into_it,7.10,STAY
one,98812,69,16,346042,397,4,4,unsat,little,considering,3.82,LEAVE
zero,38705,0,0,271599,249,1,15,very_unsat,little,actively_looking_into_it,6.04,STAY
one,32113,43,59,730144,189,1,2,very_sat,little,no,6.41,STAY
one,125271,0,16,246645,834,5,5,very_sat,high,never_thought,3.75,STAY
zero,36500,184,14,668151,131,29,4,unsat,avg,actively_looking_into_it,7.06,STAY
one,52560,190,77,375993,361,22,2,very_unsat,very_high,no,3.59,LEAVE
zero,45880,156,46,527048,131,10,2,very_sat,little,considering,3.81,LEAVE
zero,118827,0,8,548884,428,1,2,very_sat,very_high,no,3.94,STAY
one,125454,192,77,673150,438,12,2,very_unsat,little,actively_looking_into_it,2.89,LEAVE
one,123514,0,27,723345,428,0,1,very_sat,very_little,considering,6.24,STAY
one,88206,0,18,513605,294,15,6,very_sat,high,considering,4.12,STAY
one,51388,70,19,434403,291,5,4,very_unsat,very_high,actively_looking_into_it,2.53,STAY
zero,99891,61,11,391251,279,4,6,avg,very_little,considering,4.41,STAY
zero,34977,0,77,364260,168,1,1,very_sat,little,actively_looking_into_it,6.31,LEAVE
one,53367,41,38,243629,338,4,2,very_unsat,very_high,no,5.94,STAY
